Principal	$100000	Pago	$7212.38
Interes Anual	12.0%	Plazo	15 Meses
Pagos Mensuales		Interes		Principal	Impuesto	BalancePrincipal
	1		1000.00		6212.38		0.80		93787.62
	2		937.88		6274.50		0.80		87513.12
	3		875.13		6337.25		0.80		81175.87
	4		811.76		6400.62		0.80		74775.25
	5		747.75		6464.63		0.80		68310.62
	6		683.11		6529.27		0.80		61781.34
	7		617.81		6594.57		0.80		55186.78
	8		551.87		6660.51		0.80		48526.27
	9		485.26		6727.12		0.80		41799.15
	10		417.99		6794.39		0.80		35004.76
	11		350.05		6862.33		0.80		28142.43
	12		281.42		6930.96		0.80		21211.47
	13		212.11		7000.27		0.80		14211.21
	14		142.11		7070.27		0.80		7140.94
	15		71.41		7140.97		0.80		0.00
Final Payment	7212.38
